序号,类型,内容,标签
1,粮食产量,看到条毛乌素沙漠的新闻：那里现在种植了高产量的土豆。,0
2,粮食产量,2020年广东省粮食总产量1267.6万吨，比上年增加26.8万吨，增长2.2%，增幅比全国高出1.3个百分点，达近8年最高水平。,0
3,粮食产量,2020年四川粮食产量突破700亿斤，同比增加5.7亿斤,0
4,粮食产量,天津:发展现代化都市农业，粮食产量连创新高，五年均达200万吨以上,0
5,粮食产量,江苏南通市海门区：高标准农田建设助力粮食产量创新高,0
6,粮食产量,据了解，种植业方面，全市完成粮食播种面积100.08万亩，同比增长2.70%；,0
7,粮食产量,近几年粮食产量由于自然灾害产量下降,1
8,粮食产量,粮食产量非常低,1
9,粮食产量,粮食减产,1
10,粮食产量,近几年，农村土地耕地面积逐渐缩小，随之而来就是粮食产量的降低。,1
11,粮食产量,粮食产量不高,1
12,粮食产量,粮食产量真让人担忧，再加上粮库管理的水平，以及美国人套现之后，倾销政策的强力反转。,1
13,农产品生产成本,降低单位面积农产品生产成本,0
14,农产品生产成本,生产流通成本增加,1
15,农产品生产成本,农产品物流成本高,1
16,农产品生产成本,四川乡村客运“金通工程”致富车，通过开行赶集车、进城卖菜车、下乡送货车，开启“农产品进城、生产资料下乡”新通道，降低运输成本，促进农村地区人民群众增收致富。,0
17,农产品生产成本,神奇的果蔬采摘机，大幅度提高现代农业生产力的机械和科学技术，使得农产品成本大幅度降低,0
18,农产品生产成本,智慧农业可以大大节约人工成本和生产管理成本，便于生产高标准的农产品，也利于农业的长期发展,0
19,农产品生产成本,殊不知，限高架限制了卡车通行，增加了物流成本，农民生产的农产品很多因运输车辆无法到达田间地头，卖不出去而烂掉了,1
20,农产品生产成本,以转基因生物为直接食品或为原料加工生产的食品就是“转基因食品”。可增加作物单位面积产量；可以降低生产成本；,0
21,农产品生产成本,近日，在淳安县汾口镇仙居村，种粮大户张清成立千岛湖仙川农产品合作社，通过流转1000余亩土地，加快粮食生产机械化升级步伐，大量节省人力成本，实现了农业种植集约化、规模化、机械化。,0
22,农产品生产成本,主要因无国内农产品流通不畅、生产成本过高且效率低下,1
23,农产品生产成本,农产品生产成本增高,1
24,农产品生产成本,农业生产投入成本增加,1
25,人口自然增长率,当地时间1月3日，据韩国政府统计，韩国2020年死亡人数超过新生人数，首次出现人口负增长。,1
26,人口自然增长率,当前，我国人口形势日趋严峻。据媒体报道，2019年，我国出生人口降至1465万，60岁以上人口占比18%，总人口超过14亿。,1
27,人口自然增长率,2020年，以色列人口总数达929.1万，实现1.7%的增长；,0
28,人口自然增长率,人口正增长,0
29,人口自然增长率,美国工作年龄人口同比开始持续负增长。这是一个重要的拐点。 ​​​,1
30,人口自然增长率,人口每天增加19万7187人，年增长率约0.93%。,0
31,人口自然增长率,台湾地区的“少子化”问题一直比较严重，岛内2020年出生、死亡人数出现“死亡交叉”，即出生人口少于去世人口，出现人口负增长，,1
32,人口自然增长率,近三年来深圳人口增长、土地减少，住房明显供不应求,0
33,人口自然增长率,人口增长过快导致我国各方面资源与人口严重不匹配，计划生育政策也因此正式被列为一项基本国策。,0
34,人口自然增长率,目前延边州人口负增长形势依然严峻，特别是青年人才外流严重,1
35,人口自然增长率,人口减少,1
36,人口自然增长率,人口增加,0
37,粮食进出口量,1-2月福建省粮食进出口量大幅减少 ,0
38,粮食进出口量,前十月满洲里口岸粮食进出口量双增加,1
39,粮食进出口量,粮食进出口量锐减,0
40,粮食进出口量,粮食进出口量大幅增加,1
41,货币供给量,央行增加发行货币,1
42,货币供给量,央行减少发行的货币,0
